"base_!","!"
"unicode-math_\8489","\turnediota"
"wrisym_\8491","\Angstroem"
"base_\8491","\mathring{\mathrm{A}}"
"unicode-math_\8491","\Angstrom"
"base_\8492","\mathcal{B}"
"unicode-math_\8492","\mscrB"
"eufrak_\8493","\mathfrak{C}"
"unicode-math_\8493","\mfrakC"
"urwchancal_\8495","\mathcal{e}"
"unicode-math_\8495","\mscre"
"base_\8496","\mathcal{E}"
"unicode-math_\8496","\mscrE"
"base_\8497","\mathcal{F}"
"unicode-math_\8497","\mscrF"
"amssymb_\8498","\Finv"
"unicode-math_\8498","\Finv"
"base_\8499","\mathcal{M}"
"unicode-math_\8499","\mscrM"
"urwchancal_\8500","\mathcal{o}"
"unicode-math_\8500","\mscro"
"base_\8501","\aleph"
"unicode-math_\8501","\aleph"
"amssymb_\8502","\beth"
"wrisym_\8502","\beth"
"unicode-math_\8502","\beth"
"amssymb_\8503","\gimel"
"wrisym_\8503","\gimel"
"unicode-math_\8503","\gimel"
"amssymb_\8504","\daleth"
"wrisym_\8504","\daleth"
"unicode-math_\8504","\daleth"
"bbold_\8508","\mathbb{\pi}"
"unicode-math_\8508","\Bbbpi"
"bbold_\8509","\mathbb{\gamma}"
"unicode-math_\8509","\Bbbgamma"
"bbold_\8510","\mathbb{\Gamma}"
"unicode-math_\8510","\BbbGamma"
"bbold_\8511","\mathbb{\Pi}"
"unicode-math_\8511","\BbbPi"
"bbold_\8512","\mathbb{\Sigma}"
"unicode-math_\8512","\Bbbsum"
"amssymb_\8513","\Game"
"unicode-math_\8513","\Game"
"unicode-math_\8514","\sansLturned"
"unicode-math_\8515","\sansLmirrored"
"stmaryrd_\8516","\Yup"
"unicode-math_\8516","\Yup"
"wrisym_\8517","\CapitalDifferentialD"
"wrisym_\8517","\DD"
"unicode-math_\8517","\mitBbbD"
"wrisym_\8518","\DifferentialD"
"wrisym_\8518","\dd"
"unicode-math_\8518","\mitBbbd"
"wrisym_\8519","\ExponetialE"
"wrisym_\8519","\ee"
"unicode-math_\8519","\mitBbbe"
"wrisym_\8520","\ComplexI"
"wrisym_\8520","\ii"
"unicode-math_\8520","\mitBbbi"
"wrisym_\8521","\ComplexJ"
"wrisym_\8521","\jj"
"unicode-math_\8521","\mitBbbj"
"unicode-math_\8522","\PropertyLine"
"txfonts_\8523","\invamp"
"stmaryrd_\8523","\bindnasrepma"
"unicode-math_\8523","\upand"
"base_\8592","\leftarrow"
"base_\8592","\gets"
"unicode-math_\8592","\leftarrow"
"base_\8593","\uparrow"
"unicode-math_\8593","\uparrow"
"base_\8594","\rightarrow"
"base_\8594","\to"
"unicode-math_\8594","\rightarrow"
"base_\8595","\downarrow"
"unicode-math_\8595","\downarrow"
